Song,URL
It's Still Cool If You Don't Briston Maroney,https://www.youtube.com/watch?v=_wJFpYrpW-k
Fortunate Son Creedence Clearwater Revival,https://www.youtube.com/watch?v=ec0XKhAHR5I
Bump - Switch Remix Spank Rock,https://www.youtube.com/watch?v=rQqeL3y-UnY
It's All Happening Saint Motel,https://www.youtube.com/watch?v=NyzBhp0qP88
Stay High Brittany Howard,https://www.youtube.com/watch?v=CfizQsGWOxI
Blue Monday - 2016 Remaster New Order,https://www.youtube.com/watch?v=iOEJHNZpeck
Cowpoke Colter Wall,https://www.youtube.com/watch?v=MmxKsK90L14
Somebody Told Me The Killers,https://www.youtube.com/watch?v=Y5fBdpreJiU
The Way I Feel Katastro,https://www.youtube.com/watch?v=nhcaQ7_z1_I
Every Once In A While Cut Worms,https://www.youtube.com/watch?v=2eNQ0d-r9nw
Kill the Medicine Man Ron Gallo,https://www.youtube.com/watch?v=UkHUX2Nkn5s
Blue Thyla,https://www.youtube.com/watch?v=5sb2pYqrV7o
Skreevar Erland Cooper,https://www.youtube.com/watch?v=iB4uqD1IOiw
Intoxicated Truth Masati,https://www.youtube.com/watch?v=tVWi8UNPjC0
The Distance Between Left And Right Asylums,https://www.youtube.com/watch?v=ZgqnDu0lpis
Moment In The Sun Sunflower Bean,https://www.youtube.com/watch?v=Ij3FfnVQsWw
Messed Up Little Hurt,https://www.youtube.com/watch?v=kP5JC-IgKXQ
Patiently 4 U Ceramic Animal,https://www.youtube.com/watch?v=DTn1DAOWEww
Ready For The Floor Hot Chip,https://www.youtube.com/watch?v=8Cxry9cLFQI
Detour The Kount,https://www.youtube.com/watch?v=SglmEAVbSUI
Time Difference Ailbhe Reddy,https://www.youtube.com/watch?v=EEZ8Kb6ICOM
Difficult Ruby Waters,https://www.youtube.com/watch?v=Isya6vAVpv0
Why You Gotta Lie James Chatburn,https://www.youtube.com/watch?v=w4xuc1YoTw0
We Used to Wait Arcade Fire,https://www.youtube.com/watch?v=xQuUN1HGa0c
When It's Over Wipers,https://www.youtube.com/watch?v=tUm_FeB0KlQ
Realiti Marika Hackman,https://www.youtube.com/watch?v=C-Isjd27gJU
Lump The Presidents Of The United States Of America,https://www.youtube.com/watch?v=_sj_U6vObUA
Painted By Numbers The Sounds,https://www.youtube.com/watch?v=3xk8UUdlhFw
O YA Colony House,https://www.youtube.com/watch?v=yCb2hNMWTKI
Ready to Start Arcade Fire,https://www.youtube.com/watch?v=9oI27uSzxNQ
Oscillations Silver Apples,https://www.youtube.com/watch?v=t1xOZyBc2Ck
Bouge ton thang Clay and Friends,https://www.youtube.com/watch?v=V2b4Lsrbnk8
Wipe Out The Surfaris,https://www.youtube.com/watch?v=p13yZAjhU0M
Chesters Groove Skream,https://www.youtube.com/watch?v=rvZ5tRm0mN0
"New Person, Old Place Madi Diaz",https://www.youtube.com/watch?v=36xrys5DoLA
Free to Live in Colour Pixey,https://www.youtube.com/watch?v=6PRJI_8SjLQ
I Love a Man In a Uniform Gang Of Four,https://www.youtube.com/watch?v=_Pws_cquzns
Biohazard Momma,https://www.youtube.com/watch?v=GUzlXX58a94
Generals And Majors - 2001 Remaster XTC,https://www.youtube.com/watch?v=WiLuYZNzNyc
Save It For The Weekend Skegss,https://www.youtube.com/watch?v=bORp9Hr5RXo
Amnesia MOD SUN,https://www.youtube.com/watch?v=YCYxPZhMmJE
4AM in Toronto (feat. Miloh Smith) Junia-T,https://www.youtube.com/watch?v=o2wBocTvJLI
Theme For Great Cities Simple Minds,https://www.youtube.com/watch?v=pJDx-1L3V9U
Deep ARXX,https://www.youtube.com/watch?v=xgUVhCHDWfk
come around Omri,https://www.youtube.com/watch?v=RHW5Hdk9mm4
Nancy Boy Placebo,https://www.youtube.com/watch?v=PBxuq_eWW94
Loud and Heavy (Unplugged) Cody Jinks,https://www.youtube.com/watch?v=8DkIPTy3KaA
